"Identifiant unique",Identifiant,Espèce,"Numéro nomenclatural","Nom retenu","Numéro nomenclatural nom retenu",Famille,"Référentiel taxonomique",Certitude,"Type d'observation","Source de la saisie",Spontanéité,Latitude,Longitude,"Référentiel Géographique",Pays,Commune,"Identifiant Commune","Floutage (niveau de localisation diffusé)",Altitude,Lieu-dit,Milieu,Date,Notes,"Programme de sciences participatives ou observatoire citoyen","Mots Clés","Lien vers l'observation sur IdentiPlante",Image(s),Auteur
urn:lsid:tela-botanica.org:cel:3753934,3753934,"Tilia americana var. americana",77975,"Tilia americana var. americana ",77975,Malvaceae,bdtfx,certain,"observation de terrain",widget,1,45.68165,4.73734,WGS84,FR,Brignais,69027,précise,290,,Champ,2021/04/24,,,"Bota10km, Rural10km, Projets coopératifs, ",www.tela-botanica.org/appli:identiplante#obs~3753934,"https://api.tela-botanica.org/img:002475111O,","Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
urn:lsid:tela-botanica.org:cel:3753936,3753936,"Wisteria sinensis (Sims) Sweet [1826]",72992,"Wisteria sinensis (Sims) Sweet [1826]",72992,Fabaceae,bdtfx,certain,"observation de terrain",widget,1,45.68165,4.73734,WGS84,FR,Brignais,69027,précise,290,,Champ,2021/04/24,,,,,,"Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
urn:lsid:tela-botanica.org:cel:3754031,3754031,"Onopordum acanthium L. [1753]",44921,"Onopordum acanthium L. [1753]",44921,Asteraceae,bdtfx,certain,"observation de terrain",widget,1,45.79047,5.05129,WGS84,FR,Jonage,69279,précise,196,"parking Agora","bord de route",2021/04/25,,,,,,"angee  (http://www.tela-botanica.org/profil:61042)"
urn:lsid:tela-botanica.org:cel:3754032,3754032,"Achillea L. [1753]",85795,"Achillea L. [1753]",85795,Asteraceae,bdtfx,certain,"observation de terrain",widget,1,45.79038,5.05130,WGS84,FR,Jonage,69279,précise,196,Jonage,"bord de route",2021/04/25,,,,,,"angee  (http://www.tela-botanica.org/profil:61042)"
urn:lsid:tela-botanica.org:cel:3754036,3754036,"Fumaria officinalis L. [1753]",28525,"Fumaria officinalis L. [1753]",28525,Papaveraceae,bdtfx,certain,"observation de terrain",widget,1,45.79047,5.05118,WGS84,FR,Jonage,69279,précise,196,Jonage,"bord de route",2021/04/25,,,,,,"angee  (http://www.tela-botanica.org/profil:61042)"
urn:lsid:tela-botanica.org:cel:3754037,3754037,"Papaver rhoeas L. [1753]",75277,"Papaver rhoeas L. [1753]",75277,Papaveraceae,bdtfx,certain,"observation de terrain",widget,1,45.79047,5.05118,WGS84,FR,Jonage,69279,précise,196,Jonage,"bord de route",2021/04/25,,,,,,"angee  (http://www.tela-botanica.org/profil:61042)"
urn:lsid:tela-botanica.org:cel:3754296,3754296,"Silybum marianum (L.) Gaertn. [1791]",64454,"Silybum marianum (L.) Gaertn. [1791]",64454,Asteraceae,bdtfx,certain,"observation de terrain",widget,1,45.71703,4.92711,WGS84,FR,Saint-Priest,69290,précise,203,"Chemin de Feuilly","TTalus de 3-4m de long en sous bois aéré entièrement recouvert",2021/04/23,,,,,,"Gentia  (http://www.tela-botanica.org/profil:24607)"
urn:lsid:tela-botanica.org:cel:3754683,3754683,"Lamium galeobdolon (L.) L. [1759]",37494,"Lamium galeobdolon (L.) L. [1759]",37494,Lamiaceae,bdtfx,certain,"observation de terrain",widget,1,45.71934,4.51056,WGS84,FR,Montromant,69138,précise,418,"La Guébière","Ourlet sciaphile en bord de chemin",2021/04/23,,,,,,"Julie R  (http://www.tela-botanica.org/profil:15773)"
urn:lsid:tela-botanica.org:cel:3754684,3754684,"Trifolium subterraneum L. [1753]",69438,"Trifolium subterraneum L. [1753]",69438,Fabaceae,bdtfx,certain,"observation de terrain",widget,1,45.72852,4.51523,WGS84,FR,Saint-Genis-l'Argentière,69203,précise,461,Boussoure,"Pelouse mésoxérophile",2021/04/23,"Chemin enherbé au milieu des pâtures",,"Projets coopératifs, ",www.tela-botanica.org/appli:identiplante#obs~3754684,"https://api.tela-botanica.org/img:002475962O,","Julie R  (http://www.tela-botanica.org/profil:15773)"
urn:lsid:tela-botanica.org:cel:3754799,3754799,"Plantago lanceolata L. [1753]",49948,"Plantago lanceolata L.",49948,Plantaginaceae,bdtfx,certain,"observation de terrain",CEL,1,45.75566,4.84043,WGS84,France,Lyon,69123,précise,174,,,2021/04/25,,,,,,"Liliane Roubaudi  (http://www.tela-botanica.org/profil:6865)"
